"Source:","/home/dmcginnis427/Dropbox/KiCad/ultraNcabV2/ultraNcabV2.sch"
"Date:","Fri 14 Feb 2020 09:04:00 AM CET"
"Tool:","Eeschema 5.1.5-52549c5~84~ubuntu18.04.1"
"Component Count:","37"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"C1","1uF","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"C2","10nF","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"C3","100pF","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"C4","220nF","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"C5","22nF","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"C6","22nF","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"C7","1uF","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"C8","1uF","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"D1","LED","LED_THT:LED_D5.0mm","~","",""
"D2","LED","LED_THT:LED_D5.0mm","~","",""
"D3","1N5711","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~","",""
"GND1","TestPoint","TestPoint:TestPoint_THTPad_2.0x2.0mm_Drill1.0mm","~","",""
"J1","PJ-102A","dmcginnis427:DC21Jack","https://www.cui.com/product/resource/digikeypdf/pj-102a.pdf","CUI Inc.",""
"J2","StereoJack35","dmcginnis427:StereoJack35","","",""
"J3","StereoJack35","dmcginnis427:StereoJack35","","",""
"R1","220","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R2","220","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R3","1k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R4","1k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R5","1k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R6","20k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R7","10k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R8","10k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R9","1k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R10","1k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R11","1.5k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R12","1.5k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R13","1k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R14","15k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R15","15k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R16","1.5k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"U1","Teensy-LC","TeensyFootprints:Teensy30_31_32_LC","","",""
"U2","HC06","dmcginnis427:HC06","","",""
"U3","74HCT86D","74HCT86D:SOIC127P600X175-14N","SOIC-14","",""
"U4","LM293D","LM293D:SOIC127P600X175-8N","Texas Instruments","",""
"U5","TLV2462ID","TLV2462ID:SOIC127P600X175-8N","1575643","",""
"U6","TLV2462ID","TLV2462ID:SOIC127P600X175-8N","1575643","",""
